Index,Before,After,Bit,Diff
262231,11,10,0,-1
10751,157,156,0,-1
42140,191,190,0,-1
488340,127,126,0,-1
442315,137,136,0,-1
161828,91,90,0,-1
368005,93,92,0,-1
17382,87,86,0,-1
517575,127,126,0,-1
124022,197,196,0,-1
88510,149,148,0,-1
400516,43,42,0,-1
12066,79,78,0,-1
212446,49,48,0,-1
445854,141,140,0,-1
394530,119,118,0,-1
749047,121,120,0,-1
474766,147,146,0,-1
653690,237,236,0,-1
258781,95,94,0,-1
563295,183,182,0,-1
436354,149,148,0,-1
155228,153,152,0,-1
181917,69,68,0,-1
211371,57,56,0,-1
654969,111,110,0,-1
599574,105,104,0,-1
764039,209,208,0,-1
64061,241,240,0,-1
172361,117,116,0,-1
732761,233,232,0,-1
405810,77,76,0,-1
305540,239,238,0,-1
53505,107,106,0,-1
365081,115,114,0,-1
74503,109,108,0,-1
43659,59,58,0,-1
209258,121,120,0,-1
635881,133,132,0,-1
644807,221,220,0,-1
30271,201,200,0,-1
162207,151,150,0,-1
735254,225,224,0,-1
9189,65,64,0,-1
508200,137,136,0,-1
113107,177,176,0,-1
624437,235,234,0,-1
7294,47,46,0,-1
595335,185,184,0,-1
331153,91,90,0,-1
477460,117,116,0,-1
265517,191,190,0,-1
74170,93,92,0,-1
289671,63,62,0,-1
286677,115,114,0,-1
311964,113,112,0,-1
426928,129,128,0,-1
465148,83,82,0,-1
728316,75,74,0,-1
524679,143,142,0,-1
322657,109,108,0,-1
452024,189,188,0,-1
193774,91,90,0,-1
376724,135,134,0,-1
241372,41,40,0,-1
656950,113,112,0,-1
346652,127,126,0,-1
754740,91,90,0,-1
339877,17,16,0,-1
644349,187,186,0,-1
228644,185,184,0,-1
750416,201,200,0,-1
309396,63,62,0,-1
62909,147,146,0,-1
309790,33,32,0,-1
546452,215,214,0,-1
150735,121,120,0,-1
770212,91,90,0,-1
507668,151,150,0,-1
383324,129,128,0,-1
7155,129,128,0,-1
547234,91,90,0,-1
142918,81,80,0,-1
691327,141,140,0,-1
497181,185,184,0,-1
461970,61,60,0,-1
50892,97,96,0,-1
127056,53,52,0,-1
475510,169,168,0,-1
167990,103,102,0,-1
683307,139,138,0,-1
125339,225,224,0,-1
479737,95,94,0,-1
618672,101,100,0,-1
519920,141,140,0,-1
83865,107,106,0,-1
184248,117,116,0,-1
777202,85,84,0,-1
689484,107,106,0,-1
459300,81,80,0,-1
717326,227,226,0,-1
220055,133,132,0,-1
290151,131,130,0,-1
570169,63,62,0,-1
231669,129,128,0,-1
271974,109,108,0,-1
45760,51,50,0,-1
463718,213,212,0,-1
757493,183,182,0,-1
11027,109,108,0,-1
651611,193,192,0,-1
248925,119,118,0,-1
354632,205,204,0,-1
543444,59,58,0,-1
39893,143,142,0,-1
599003,211,210,0,-1
405765,81,80,0,-1
564968,73,72,0,-1
22431,101,100,0,-1
83835,107,106,0,-1
454891,57,56,0,-1
383253,57,56,0,-1
755533,91,90,0,-1
696508,149,148,0,-1
556250,155,154,0,-1
738382,129,128,0,-1
526471,149,148,0,-1
167131,101,100,0,-1
229351,135,134,0,-1
414739,69,68,0,-1
201610,107,106,0,-1
772393,91,90,0,-1
663575,225,224,0,-1
593134,63,62,0,-1
614541,111,110,0,-1
331431,115,114,0,-1
189316,43,42,0,-1
540214,189,188,0,-1
727614,129,128,0,-1
207323,241,240,0,-1
659561,189,188,0,-1
282169,57,56,0,-1
435280,25,24,0,-1
134507,221,220,0,-1
385321,133,132,0,-1
189634,45,44,0,-1
510652,45,44,0,-1
127688,161,160,0,-1
748108,131,130,0,-1
644160,97,96,0,-1
445487,173,172,0,-1
65009,93,92,0,-1
609371,113,112,0,-1
590278,55,54,0,-1
390477,111,110,0,-1
56674,51,50,0,-1
699691,81,80,0,-1
321743,223,222,0,-1
775316,219,218,0,-1
556443,89,88,0,-1
24215,147,146,0,-1
237159,63,62,0,-1
157610,233,232,0,-1
345340,129,128,0,-1
233341,207,206,0,-1
386361,59,58,0,-1
150260,177,176,0,-1
758919,117,116,0,-1
158772,63,62,0,-1
139006,95,94,0,-1
688811,205,204,0,-1
528615,75,74,0,-1
303027,63,62,0,-1
302513,241,240,0,-1
459019,97,96,0,-1
471055,57,56,0,-1
616071,113,112,0,-1
174051,145,144,0,-1
335363,185,184,0,-1
90151,205,204,0,-1
618245,219,218,0,-1
108569,241,240,0,-1
477191,157,156,0,-1
100107,59,58,0,-1
559781,217,216,0,-1
586537,17,16,0,-1
71738,241,240,0,-1
250963,27,26,0,-1
381197,171,170,0,-1
677746,83,82,0,-1
4364,211,210,0,-1
680178,95,94,0,-1
607067,189,188,0,-1
644613,107,106,0,-1
736549,91,90,0,-1
421701,131,130,0,-1
210040,131,130,0,-1
758234,177,176,0,-1
281132,139,138,0,-1
102113,217,216,0,-1
769656,113,112,0,-1
600522,119,118,0,-1
589744,141,140,0,-1
392471,141,140,0,-1
177435,105,104,0,-1
291893,127,126,0,-1
591668,177,176,0,-1
781179,103,102,0,-1
652601,89,88,0,-1
